,Well,Absorbance,Cell_Type,Dilution,GROUP ID
413,F3,0.026916667,Diseased,5e+05,
414,F4,-0.028083333,Diseased,250000,
415,F5,-0.068083333,Diseased,125000,
416,F6,-0.098083333,Diseased,62500,
417,F7,-0.104083333,Diseased,31250,
418,F8,-0.107083333,Diseased,15625,
419,F9,-0.090083333,Diseased,7812.5,
420,F10,-0.100083333,Diseased,3906.25,
421,A1,1.026083333,Healthy,2e+06,
422,A2,0.936083333,Healthy,1e+06,
423,A3,0.650083333,Healthy,5e+05,
424,A4,0.440083333,Healthy,250000,
425,A5,0.233083333,Healthy,125000,
426,A6,0.124083333,Healthy,62500,
427,A7,0.086083333,Healthy,31250,
428,A8,0.052083333,Healthy,15625,
429,A9,0.028083333,Healthy,7812.5,
430,A10,0.025083333,Healthy,3906.25,
431,B1,1.015083333,Healthy,2e+06,
432,B2,0.776083333,Healthy,1e+06,
433,B3,0.687083333,Healthy,5e+05,
434,B4,0.633083333,Healthy,250000,
435,B5,0.228083333,Healthy,125000,
436,B6,0.098083333,Healthy,62500,
437,B7,0.084083333,Healthy,31250,
438,B8,0.020083333,Healthy,15625,
439,B9,0.031083333,Healthy,7812.5,
440,B10,0.026083333,Healthy,3906.25,
441,C1,1.062083333,Healthy,2e+06,
442,C2,0.767083333,Healthy,1e+06,
443,C3,0.676083333,Healthy,5e+05,
444,C4,0.460083333,Healthy,250000,
445,C5,0.235083333,Healthy,125000,
446,C6,0.103083333,Healthy,62500,
447,C7,0.037083333,Healthy,31250,
448,C8,0.009083333,Healthy,15625,
449,C9,0.014083333,Healthy,7812.5,
450,C10,0.024083333,Healthy,3906.25,
451,D1,0.295083333,Diseased,2e+06,
452,D2,0.130083333,Diseased,1e+06,
453,D3,0.040083333,Diseased,5e+05,
454,D4,0.016083333,Diseased,250000,
455,D5,-0.065916667,Diseased,125000,
456,D6,-0.056916667,Diseased,62500,
457,D7,-0.061916667,Diseased,31250,
458,D8,-0.069916667,Diseased,15625,
459,D9,-0.059916667,Diseased,7812.5,
460,D10,-0.070916667,Diseased,3906.25,
461,E1,0.225083333,Diseased,2e+06,
462,E2,0.041083333,Diseased,1e+06,
463,E3,0.013083333,Diseased,5e+05,
