,Well,Absorbance,Cell_Type,Dilution,GROUP ID
919,B9,-0.019666667,Healthy,7812.5,
920,B10,0.502333333,Healthy,3906.25,
921,C1,0.741333333,Healthy,2e+06,
922,C2,0.363333333,Healthy,1e+06,
923,C3,0.186333333,Healthy,5e+05,
924,C4,0.145333333,Healthy,250000,
925,C5,0.065333333,Healthy,125000,
926,C6,0.013333333,Healthy,62500,
927,C7,0.001333333,Healthy,31250,
928,C8,-0.006666667,Healthy,15625,
929,C9,-0.016666667,Healthy,7812.5,
930,C10,0.002333333,Healthy,3906.25,
931,D1,0.594333333,Diseased,2e+06,
932,D2,0.374333333,Diseased,1e+06,
933,D3,0.089333333,Diseased,5e+05,
934,D4,0.012333333,Diseased,250000,
935,D5,-0.012666667,Diseased,125000,
